Year,Locality,Suburb,State,Postcode,Employed,Unemployed
2016,Ashby Heights NSW 2463,Ashby Heights,NSW,2463,76,19
2016,Ashby Island NSW 2463,Ashby Island,NSW,2463,6,0
2016,Ashcroft NSW 2168,Ashcroft,NSW,2168,887,142
2016,Ashfield (NSW) NSW 2131,Ashfield,NSW,2131,12232,925
2016,Ashford (NSW) NSW 2361,Ashford,NSW,2361,206,24
2016,Ashley NSW 2400,Ashley,NSW,2400,174,6
2016,Ashmont NSW 2650,Ashmont,NSW,2650,1301,194
2016,Ashtonfield NSW 2323,Ashtonfield,NSW,2323,2267,122
2016,Asquith NSW 2077,Asquith,NSW,2077,1680,88
2016,Atholwood NSW 2361,Atholwood,NSW,2361,35,0
2016,Attunga NSW 2345,Attunga,NSW,2345,284,12
2016,Auburn (NSW) NSW 2144,Auburn,NSW,2144,14079,2039
2016,Auburn Vale NSW 2360,Auburn Vale,NSW,2360,66,0
2016,Austinmer NSW 2515,Austinmer,NSW,2515,1245,66
2016,Austral NSW 2179,Austral,NSW,2179,1204,58
2016,Austral Eden NSW 2440,Austral Eden,NSW,2440,74,3
2016,Avalon Beach NSW 2107,Avalon Beach,NSW,2107,4973,182
2016,Avisford NSW 2850,Avisford,NSW,2850,8,0
2016,Avoca (NSW) NSW 2577,Avoca,NSW,2577,106,3
2016,Avoca Beach NSW 2251,Avoca Beach,NSW,2251,2261,115
2016,Avon (NSW) NSW 2574,Avon,NSW,2574,0,0
2016,Avondale (NSW) NSW 2530,Avondale,NSW,2530,744,59
2016,Avonside NSW 2628,Avonside,NSW,2628,51,4
2016,Awaba NSW 2283,Awaba,NSW,2283,178,16
2016,Aylmerton NSW 2575,Aylmerton,NSW,2575,106,6
2016,Baan Baa NSW 2390,Baan Baa,NSW,2390,72,7
2016,Babinda (NSW) NSW 2825,Babinda,NSW,2825,0,0
2016,Babyl Creek NSW 2470,Babyl Creek,NSW,2470,5,0
2016,Back Creek (Bland - NSW) NSW 2671,Back Creek,NSW,2671,14,0
2016,Back Creek (Gwydir - NSW) NSW 2671,Back Creek,NSW,2671,9,0
2016,Back Creek (Mid-Coast - NSW) NSW 2671,Back Creek,NSW,2671,8,0
2016,Back Creek (Queanbeyan-Palerang Regional - NSW) NSW 2671,Back Creek,NSW,2671,0,0
2016,Back Creek (Tenterfield - NSW) NSW 2671,Back Creek,NSW,2671,0,0
2016,Back Creek (Tweed - NSW) NSW 2671,Back Creek,NSW,2671,7,0
2016,Back Forest NSW 2535,Back Forest,NSW,2535,47,0
2016,Backmede NSW 2470,Backmede,NSW,2470,70,0
2016,Backwater NSW 2365,Backwater,NSW,2365,10,0
2016,Badgerys Creek NSW 2555,Badgerys Creek,NSW,2555,84,4
2016,Badja NSW 2630,Badja,NSW,2630,0,0
2016,Baerami NSW 2333,Baerami,NSW,2333,29,0
2016,Baerami Creek NSW 2333,Baerami Creek,NSW,2333,18,0
2016,Bagnoo NSW 2446,Bagnoo,NSW,2446,13,0
2016,Bago NSW 2446,Bago,NSW,2446,17,0
2016,Bagotville NSW 2477,Bagotville,NSW,2477,24,0
2016,Bakers Creek (Mid-Coast - NSW) NSW 2422,Bakers Creek,NSW,2422,11,0
2016,Bakers Creek (Nambucca - NSW) NSW 2422,Bakers Creek,NSW,2422,4,0
